Car Names,Mileages,Ratings,Reviews,used/certified,Price
2019 Honda Accord Sport,Mileage,3.7,(3 reviews),Used,"$27,995.00"
2015 Chevrolet Corvette Stingray Z51,"29,192 mi.",3.7,(3 reviews),Used,"$52,000.00"
2020 Jeep Grand Cherokee Overland,"53,561 mi.",4.8,"(1,147 reviews)",Used,"$41,998.00"
2019 Audi A7 3.0T Prestige,"46,664 mi.",4.9,"(1,831 reviews)",Used,"$62,750.00"
2017 Ford Mustang GT Premium,"21,726 mi.",4.0,(409 reviews),Used,"$29,995.00"
2016 Jeep Grand Cherokee Limited,"66,514 mi.",4.6,"(1,348 reviews)",Used,"$26,499.00"
2018 Jeep Grand Cherokee High Altitude,"52,607 mi.",3.3,(329 reviews),Used,"$39,944.00"
2016 Ford Fusion SE,"45,046 mi.",4.3,(73 reviews),Ford Certified,"$14,756.00"
2021 Ford F-150 Raptor,"43,502 mi.",3.5,(193 reviews),Used,"$123,500.00"
2019 GMC Yukon Denali,"5,386 mi.",4.7,(267 reviews),Used,"$61,974.00"
2022 Kia Telluride SX,"62,129 mi.",4.8,"(1,305 reviews)",Used,"$54,500.00"
2018 Jeep Wrangler Unlimited Sport,"10,100 mi.",4.6,(317 reviews),Jeep Certified,"$36,277.00"
2015 Toyota 4Runner Limited,"68,884 mi.",4.4,(580 reviews),Used,"$33,050.00"
2020 Toyota Camry SE,"57,311 mi.",5.0,(3 reviews),Used,"$33,677.00"
2016 INFINITI Q50 3.0T Red Sport 400,"21,713 mi.",4.7,"(1,338 reviews)",Used,"$28,900.00"
2017 Ford F-150 Raptor,"74,765 mi.",5.0,(1 review),Used,"$56,999.00"
2013 Lexus GS 350 Base,"66,000 mi.",4.7,(659 reviews),Used,"$16,990.00"
2021 Mitsubishi Mirage ES,"48,605 mi.",3.3,(239 reviews),Used,"$15,165.00"
2022 Subaru Outback Touring,"19,844 mi.",4.6,"(2,411 reviews)",Used,"$39,747.00"
2017 Lexus ES 350 Base,"28,271 mi.",3.7,(3 reviews),Used,"$29,500.00"
2021 Toyota Land Cruiser Heritage Edition,"56,748 mi.",4.1,(57 reviews),Used,"$97,900.00"
2017 BMW M3 Base,"11,194 mi.",4.7,(743 reviews),Used,"$53,789.00"
